gamma,tau,volume,V_info,task_id
0.25,1.5,2.351365,0.24740263,g025_t0150
0.25,2.0,2.843708,0.27486606,g025_t0200
0.25,3.0,4.455668,0.28524424,g025_t0300
0.35000000000000003,2.0,1.991940,0.23358758,g035_t0200
0.5,4.0,2.358795,0.20963034,g050_t0400
0.5,5.0,2.468804,0.19641832,g050_t0500
1.0,5.0,1.468359,0.08620847,g100_t0500
1.4,2.0,0.528212,0.06356006,g140_t0200
2.0,1.5,0.330993,0.04219984,g200_t0150
2.0,2.0,0.396447,0.04439824,g200_t0200
2.0,3.0,0.729785,0.04410732,g200_t0300
2.0,5.0,0.985154,0.03172168,g200_t0500
4.0,10.0,1.175366,0.00549137,g400_t1000
0.5,2.0,1.185404,0.11652485,seed_g050_t0200_3d
